,road_subsurface_tmp_set_1,date_time,wind_cardinal_direction_set_1d,road_temp_set_1,road_temp_set_2,dew_point_temperature_set_1d,heat_index_set_1d,wind_direction_set_1,relative_humidity_set_1,wind_speed_set_1,wind_gust_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
19,37.9,2018-08-01 05:23:00,,29.0,28.3,6.64,,,47.0,0.0,0.28,18.2,CTFPE,4695,-120.79,40.39
20,37.6,2018-08-01 05:38:00,,28.6,28.0,6.18,,,47.0,0.0,0.0,17.7,CTFPE,4695,-120.79,40.39
21,37.4,2018-08-01 05:53:00,NE,28.3,27.6,6.49,,50.0,48.0,0.28,0.83,17.7,CTFPE,4695,-120.79,40.39
22,37.2,2018-08-01 06:08:00,ENE,27.8,27.2,6.99,,75.0,50.0,0.28,0.83,17.6,CTFPE,4695,-120.79,40.39
23,36.9,2018-08-01 06:23:00,N,27.5,26.7,7.19,,10.0,51.0,0.28,0.83,17.5,CTFPE,4695,-120.79,40.39
24,36.6,2018-08-01 06:38:00,,27.1,26.6,7.38,,,52.0,0.0,0.56,17.4,CTFPE,4695,-120.79,40.39
25,36.4,2018-08-01 06:53:00,NNE,26.8,26.1,7.38,,25.0,53.0,0.28,0.56,17.1,CTFPE,4695,-120.79,40.39
26,36.2,2018-08-01 07:08:00,,26.3,25.8,7.19,,,54.0,0.0,0.56,16.6,CTFPE,4695,-120.79,40.39
27,36.0,2018-08-01 07:23:00,,25.8,25.5,7.18,,,55.0,0.0,0.83,16.3,CTFPE,4695,-120.79,40.39
28,35.7,2018-08-01 07:38:00,,25.4,25.1,6.98,,,56.0,0.0,0.56,15.8,CTFPE,4695,-120.79,40.39
29,35.4,2018-08-01 07:54:00,,25.0,24.7,6.24,,,55.0,0.0,0.56,15.3,CTFPE,4695,-120.79,40.39
30,35.3,2018-08-01 08:08:00,,24.6,24.4,5.6,,,54.0,0.0,0.83,14.9,CTFPE,4695,-120.79,40.39
31,35.1,2018-08-01 08:23:00,NNW,24.2,24.2,5.32,,335.0,54.0,0.28,1.11,14.6,CTFPE,4695,-120.79,40.39
32,34.8,2018-08-01 08:38:00,,23.9,23.8,5.14,,,54.0,0.0,0.56,14.4,CTFPE,4695,-120.79,40.39
33,34.6,2018-08-01 08:53:00,,23.4,23.6,4.84,,,55.0,0.0,0.56,13.8,CTFPE,4695,-120.79,40.39
34,34.4,2018-08-01 09:08:00,,23.2,23.3,4.91,,,56.0,0.0,0.56,13.6,CTFPE,4695,-120.79,40.39
35,34.1,2018-08-01 09:23:00,,22.8,23.0,4.73,,,56.0,0.0,0.56,13.4,CTFPE,4695,-120.79,40.39
36,33.9,2018-08-01 09:39:00,N,22.6,22.6,4.73,,5.0,56.0,0.28,0.56,13.4,CTFPE,4695,-120.79,40.39
37,33.8,2018-08-01 09:53:00,,22.2,22.4,4.73,,,56.0,0.0,0.83,13.4,CTFPE,4695,-120.79,40.39
38,33.6,2018-08-01 10:08:00,NW,22.1,22.3,4.47,,315.0,55.0,0.28,0.83,13.4,CTFPE,4695,-120.79,40.39
39,33.3,2018-08-01 10:23:00,,21.8,22.0,4.09,,,55.0,0.0,0.0,13.0,CTFPE,4695,-120.79,40.39
40,33.1,2018-08-01 10:38:00,NW,21.4,21.8,3.98,,310.0,56.0,0.56,0.56,12.6,CTFPE,4695,-120.79,40.39
41,33.0,2018-08-01 10:53:00,,21.2,21.6,3.88,,,56.0,0.0,0.56,12.5,CTFPE,4695,-120.79,40.39
42,32.8,2018-08-01 11:08:00,WNW,21.0,21.3,3.86,,300.0,57.0,0.28,0.28,12.2,CTFPE,4695,-120.79,40.39
43,32.5,2018-08-01 11:23:00,,20.7,21.2,3.51,,,56.0,0.0,0.56,12.1,CTFPE,4695,-120.79,40.39
44,32.4,2018-08-01 11:39:00,,20.4,21.0,3.51,,,56.0,0.0,0.28,12.1,CTFPE,4695,-120.79,40.39
45,32.2,2018-08-01 11:53:00,NW,20.2,20.7,3.41,,320.0,56.0,0.28,0.83,12.0,CTFPE,4695,-120.79,40.39
46,32.0,2018-08-01 12:08:00,,20.1,20.7,3.25,,,55.0,0.0,0.56,12.1,CTFPE,4695,-120.79,40.39
47,31.8,2018-08-01 12:23:00,,19.9,20.5,2.99,,,54.0,0.0,0.56,12.1,CTFPE,4695,-120.79,40.39
48,31.6,2018-08-01 12:38:00,,19.7,20.4,2.71,,,54.0,0.0,0.0,11.8,CTFPE,4695,-120.79,40.39
49,31.4,2018-08-01 12:54:00,,19.5,20.1,3.06,,,55.0,0.0,0.56,11.9,CTFPE,4695,-120.79,40.39
50,31.3,2018-08-01 13:09:00,,19.3,20.1,2.97,,,55.0,0.0,0.28,11.8,CTFPE,4695,-120.79,40.39
51,31.1,2018-08-01 13:23:00,,19.1,20.1,3.13,,,56.0,0.0,0.0,11.7,CTFPE,4695,-120.79,40.39
52,30.9,2018-08-01 13:38:00,,19.3,20.1,3.23,,,56.0,0.0,0.56,11.8,CTFPE,4695,-120.79,40.39
53,30.8,2018-08-01 13:53:00,,19.8,20.4,3.48,,,57.0,0.0,0.56,11.8,CTFPE,4695,-120.79,40.39
54,30.6,2018-08-01 14:08:00,,20.0,20.7,4.2,,,58.0,0.0,0.56,12.3,CTFPE,4695,-120.79,40.39
55,30.4,2018-08-01 14:23:00,,20.4,21.0,4.95,,,58.0,0.0,0.56,13.1,CTFPE,4695,-120.79,40.39
56,30.3,2018-08-01 14:38:00,,22.4,22.2,6.58,,,60.0,0.0,0.83,14.3,CTFPE,4695,-120.79,40.39
57,30.2,2018-08-01 14:54:00,,22.4,22.4,7.99,,,60.0,0.0,0.56,15.8,CTFPE,4695,-120.79,40.39
58,30.0,2018-08-01 15:08:00,,24.9,22.8,8.97,,,59.0,0.0,0.28,17.1,CTFPE,4695,-120.79,40.39
59,29.9,2018-08-01 15:23:00,,27.5,23.7,9.77,,,57.0,0.0,0.83,18.5,CTFPE,4695,-120.79,40.39
60,29.9,2018-08-01 15:39:00,,30.3,26.3,10.83,,,53.0,0.0,0.83,20.8,CTFPE,4695,-120.79,40.39
61,29.8,2018-08-01 15:53:00,S,32.2,29.0,11.27,,170.0,51.0,1.11,1.67,21.9,CTFPE,4695,-120.79,40.39
62,29.8,2018-08-01 16:08:00,SE,34.6,33.0,11.96,,140.0,49.0,0.28,1.67,23.3,CTFPE,4695,-120.79,40.39
63,29.8,2018-08-01 16:23:00,WNW,37.3,35.7,12.59,,295.0,45.0,0.28,1.94,25.4,CTFPE,4695,-120.79,40.39
64,29.8,2018-08-01 16:39:00,SW,39.8,37.4,11.87,26.81,225.0,39.0,1.94,4.44,27.0,CTFPE,4695,-120.79,40.39
65,29.8,2018-08-01 16:53:00,SSW,41.8,35.2,11.61,27.15,200.0,37.0,1.94,3.61,27.6,CTFPE,4695,-120.79,40.39
66,30.0,2018-08-01 17:08:00,SSE,43.5,32.7,11.22,27.43,150.0,35.0,2.5,5.56,28.1,CTFPE,4695,-120.79,40.39
67,30.2,2018-08-01 17:23:00,SSE,46.2,40.3,11.13,27.7,160.0,34.0,1.39,5.0,28.5,CTFPE,4695,-120.79,40.39
68,30.3,2018-08-01 17:38:00,SSW,48.0,39.8,10.78,27.72,195.0,33.0,1.94,5.56,28.6,CTFPE,4695,-120.79,40.39
69,30.6,2018-08-01 17:53:00,SSW,50.4,37.5,10.67,27.99,195.0,32.0,3.06,5.56,29.0,CTFPE,4695,-120.79,40.39
70,30.9,2018-08-01 18:08:00,SW,51.5,44.6,11.28,28.62,230.0,32.0,1.94,5.28,29.7,CTFPE,4695,-120.79,40.39
71,31.1,2018-08-01 18:23:00,WNW,53.7,49.0,11.07,28.83,290.0,31.0,1.67,5.0,30.0,CTFPE,4695,-120.79,40.39
72,31.4,2018-08-01 18:38:00,NW,55.0,51.3,10.98,28.73,305.0,31.0,3.33,6.94,29.9,CTFPE,4695,-120.79,40.39
73,31.8,2018-08-01 18:53:00,S,56.4,53.6,11.33,29.12,180.0,31.0,4.17,7.22,30.3,CTFPE,4695,-120.79,40.39
74,32.1,2018-08-01 19:08:00,W,57.4,55.1,11.68,29.52,265.0,31.0,1.94,7.78,30.7,CTFPE,4695,-120.79,40.39
75,32.5,2018-08-01 19:23:00,SW,58.1,56.9,11.19,29.43,220.0,30.0,2.5,5.83,30.7,CTFPE,4695,-120.79,40.39
76,33.0,2018-08-01 19:39:00,SSW,60.3,57.6,12.07,30.48,200.0,30.0,1.67,7.5,31.7,CTFPE,4695,-120.79,40.39
77,33.3,2018-08-01 19:53:00,WSW,60.7,59.1,11.89,30.26,240.0,30.0,2.78,6.67,31.5,CTFPE,4695,-120.79,40.39
78,33.7,2018-08-01 20:08:00,SW,60.8,59.5,11.54,29.84,215.0,30.0,2.22,5.83,31.1,CTFPE,4695,-120.79,40.39
79,34.1,2018-08-01 20:24:00,SW,61.7,61.2,11.54,29.84,220.0,30.0,2.5,8.06,31.1,CTFPE,4695,-120.79,40.39
80,34.6,2018-08-01 20:38:00,S,62.2,62.0,12.15,30.59,180.0,30.0,1.94,7.5,31.8,CTFPE,4695,-120.79,40.39
81,35.0,2018-08-01 20:53:00,S,62.4,62.0,12.08,31.04,170.0,29.0,1.94,7.5,32.3,CTFPE,4695,-120.79,40.39
82,35.4,2018-08-01 21:08:00,W,62.7,62.8,11.64,30.48,270.0,29.0,3.33,6.94,31.8,CTFPE,4695,-120.79,40.39
83,35.9,2018-08-01 21:23:00,SE,61.9,63.4,11.03,30.28,145.0,28.0,3.33,8.06,31.7,CTFPE,4695,-120.79,40.39
84,36.2,2018-08-01 21:38:00,SW,62.1,63.5,11.29,30.6,220.0,28.0,2.78,6.94,32.0,CTFPE,4695,-120.79,40.39
85,36.6,2018-08-01 21:53:00,W,61.9,63.1,11.11,30.38,275.0,28.0,2.78,8.06,31.8,CTFPE,4695,-120.79,40.39
86,37.0,2018-08-01 22:08:00,SW,62.1,62.9,11.37,30.71,220.0,28.0,2.78,8.06,32.1,CTFPE,4695,-120.79,40.39
87,37.4,2018-08-01 22:23:00,SSE,62.0,61.5,11.63,31.04,165.0,28.0,2.5,6.94,32.4,CTFPE,4695,-120.79,40.39
88,37.7,2018-08-01 22:38:00,WSW,61.4,61.6,11.46,30.82,245.0,28.0,1.94,5.83,32.2,CTFPE,4695,-120.79,40.39
89,38.1,2018-08-01 22:53:00,W,60.5,60.3,10.92,30.71,275.0,27.0,3.33,7.5,32.2,CTFPE,4695,-120.79,40.39
90,38.4,2018-08-01 23:08:00,SW,58.8,59.0,10.83,30.61,220.0,27.0,2.78,6.67,32.1,CTFPE,4695,-120.79,40.39
91,38.7,2018-08-01 23:24:00,S,58.7,57.8,10.74,30.5,190.0,27.0,3.33,5.56,32.0,CTFPE,4695,-120.79,40.39
92,39.0,2018-08-01 23:38:00,SW,57.1,56.8,10.74,30.5,220.0,27.0,1.67,5.28,32.0,CTFPE,4695,-120.79,40.39
93,39.3,2018-08-01 23:53:00,W,56.6,55.6,10.83,30.61,280.0,27.0,2.22,5.0,32.1,CTFPE,4695,-120.79,40.39
94,39.5,2018-08-02 00:08:00,SSE,55.1,54.3,10.57,30.29,160.0,27.0,1.39,6.67,31.8,CTFPE,4695,-120.79,40.39
95,39.8,2018-08-02 00:23:00,S,53.2,49.5,10.14,29.78,180.0,27.0,2.22,5.56,31.3,CTFPE,4695,-120.79,40.39
96,40.0,2018-08-02 00:38:00,SSE,52.0,45.2,10.05,29.68,165.0,27.0,2.78,5.28,31.2,CTFPE,4695,-120.79,40.39
97,40.1,2018-08-02 00:53:00,WNW,50.7,42.6,9.97,29.58,295.0,27.0,2.5,5.28,31.1,CTFPE,4695,-120.79,40.39
98,40.2,2018-08-02 01:08:00,SW,49.0,41.0,9.53,29.1,215.0,27.0,1.94,5.28,30.6,CTFPE,4695,-120.79,40.39
99,40.3,2018-08-02 01:23:00,SSW,46.3,39.4,9.99,29.08,205.0,28.0,1.39,4.17,30.5,CTFPE,4695,-120.79,40.39
100,40.4,2018-08-02 01:38:00,S,43.2,38.2,8.86,27.93,170.0,28.0,2.5,5.0,29.2,CTFPE,4695,-120.79,40.39
101,40.5,2018-08-02 01:53:00,SW,41.1,37.2,7.8,27.41,215.0,27.0,2.22,5.56,28.6,CTFPE,4695,-120.79,40.39
102,40.5,2018-08-02 02:08:00,SW,39.4,36.1,7.2,26.9,220.0,27.0,1.39,6.11,27.9,CTFPE,4695,-120.79,40.39
103,40.4,2018-08-02 02:23:00,WNW,38.0,35.2,6.68,26.5,300.0,27.0,1.94,4.44,27.3,CTFPE,4695,-120.79,40.39
104,40.3,2018-08-02 02:38:00,NW,36.9,34.2,6.78,26.27,310.0,28.0,1.11,3.89,26.8,CTFPE,4695,-120.79,40.39
105,40.2,2018-08-02 02:53:00,SW,35.8,33.4,6.59,,235.0,29.0,1.11,3.33,26.0,CTFPE,4695,-120.79,40.39
106,40.0,2018-08-02 03:08:00,WSW,34.6,32.4,6.15,,245.0,29.0,1.11,2.78,25.5,CTFPE,4695,-120.79,40.39
107,39.8,2018-08-02 03:24:00,SSW,33.5,31.6,6.21,,205.0,30.0,1.67,3.33,25.0,CTFPE,4695,-120.79,40.39
108,39.6,2018-08-02 03:38:00,W,32.7,30.8,6.16,,270.0,31.0,1.39,3.33,24.4,CTFPE,4695,-120.79,40.39
109,39.3,2018-08-02 03:53:00,NW,31.9,30.3,6.18,,305.0,32.0,1.11,2.78,23.9,CTFPE,4695,-120.79,40.39
110,39.2,2018-08-02 04:08:00,WNW,31.3,29.8,6.53,,295.0,33.0,0.56,3.06,23.8,CTFPE,4695,-120.79,40.39
111,38.9,2018-08-02 04:23:00,WNW,30.7,29.2,6.7,,290.0,34.0,0.83,3.33,23.5,CTFPE,4695,-120.79,40.39
112,38.7,2018-08-02 04:38:00,E,30.2,28.7,6.35,,80.0,34.0,0.28,2.78,23.1,CTFPE,4695,-120.79,40.39
113,38.4,2018-08-02 04:53:00,NE,29.6,28.1,5.35,,50.0,35.0,0.56,1.11,21.5,CTFPE,4695,-120.79,40.39
114,38.1,2018-08-02 05:08:00,,28.8,27.8,4.54,,,37.0,0.0,0.56,19.7,CTFPE,4695,-120.79,40.39
115,37.8,2018-08-02 05:23:00,,28.3,27.3,3.93,,,38.0,0.0,0.56,18.6,CTFPE,4695,-120.79,40.39
116,37.5,2018-08-02 05:38:00,NNE,27.7,26.8,3.49,,25.0,39.0,0.28,0.83,17.7,CTFPE,4695,-120.79,40.39
117,37.3,2018-08-02 05:53:00,,27.1,26.4,3.58,,,40.0,0.0,0.83,17.4,CTFPE,4695,-120.79,40.39
118,37.0,2018-08-02 06:09:00,,26.7,26.0,3.3,,,41.0,0.0,0.83,16.7,CTFPE,4695,-120.79,40.39
119,36.8,2018-08-02 06:23:00,WNW,26.2,25.6,3.1,,285.0,42.0,0.83,1.39,16.1,CTFPE,4695,-120.79,40.39
120,36.6,2018-08-02 06:38:00,WNW,25.8,25.3,2.8,,285.0,43.0,0.28,0.56,15.4,CTFPE,4695,-120.79,40.39
121,36.3,2018-08-02 06:53:00,NNW,25.2,24.9,2.67,,340.0,44.0,0.28,0.83,14.9,CTFPE,4695,-120.79,40.39
122,36.0,2018-08-02 07:08:00,NW,24.9,24.4,2.3,,315.0,44.0,0.56,0.83,14.5,CTFPE,4695,-120.79,40.39
123,35.8,2018-08-02 07:23:00,NW,24.4,24.2,2.03,,320.0,44.0,0.28,0.83,14.2,CTFPE,4695,-120.79,40.39
124,35.6,2018-08-02 07:38:00,NW,24.0,23.8,1.98,,305.0,45.0,0.28,0.56,13.8,CTFPE,4695,-120.79,40.39
125,35.3,2018-08-02 07:53:00,,23.6,23.5,1.74,,,46.0,0.0,0.0,13.2,CTFPE,4695,-120.79,40.39
126,35.1,2018-08-02 08:08:00,,23.2,23.2,1.58,,,47.0,0.0,0.0,12.7,CTFPE,4695,-120.79,40.39
127,34.6,2018-08-02 08:38:00,,22.4,22.6,1.43,,,49.0,0.0,0.0,11.9,CTFPE,4695,-120.79,40.39
128,34.3,2018-08-02 08:53:00,NW,22.1,22.2,1.34,,310.0,49.0,0.28,0.56,11.8,CTFPE,4695,-120.79,40.39
129,34.1,2018-08-02 09:08:00,,21.7,21.9,1.62,,,50.0,0.0,0.56,11.8,CTFPE,4695,-120.79,40.39
130,33.9,2018-08-02 09:23:00,,21.5,21.6,1.72,,,51.0,0.0,0.56,11.6,CTFPE,4695,-120.79,40.39
131,33.6,2018-08-02 09:38:00,,21.1,21.3,1.53,,,51.0,0.0,0.56,11.4,CTFPE,4695,-120.79,40.39
132,33.4,2018-08-02 09:53:00,NW,20.8,21.1,1.53,,315.0,52.0,0.28,0.56,11.1,CTFPE,4695,-120.79,40.39
133,33.3,2018-08-02 10:08:00,,20.5,20.9,1.79,,,53.0,0.0,0.0,11.1,CTFPE,4695,-120.79,40.39
134,33.0,2018-08-02 10:23:00,NW,20.3,20.6,1.61,,310.0,53.0,0.28,0.56,10.9,CTFPE,4695,-120.79,40.39
135,32.8,2018-08-02 10:39:00,,19.9,20.3,1.25,,,52.0,0.0,0.56,10.8,CTFPE,4695,-120.79,40.39
136,32.5,2018-08-02 10:53:00,,19.7,20.1,1.15,,,52.0,0.0,0.56,10.7,CTFPE,4695,-120.79,40.39
137,32.4,2018-08-02 11:08:00,NNW,19.5,20.0,0.87,,330.0,52.0,0.28,0.56,10.4,CTFPE,4695,-120.79,40.39
138,32.2,2018-08-02 11:23:00,,19.2,19.8,1.14,,,53.0,0.0,0.56,10.4,CTFPE,4695,-120.79,40.39
139,32.0,2018-08-02 11:39:00,,19.0,19.5,1.14,,,53.0,0.0,0.28,10.4,CTFPE,4695,-120.79,40.39
140,31.8,2018-08-02 11:53:00,NNW,18.7,19.5,1.05,,340.0,53.0,0.56,0.83,10.3,CTFPE,4695,-120.79,40.39
141,31.6,2018-08-02 12:08:00,,18.5,19.3,0.86,,,53.0,0.0,0.56,10.1,CTFPE,4695,-120.79,40.39
142,31.4,2018-08-02 12:23:00,,18.3,19.0,0.58,,,53.0,0.0,0.28,9.8,CTFPE,4695,-120.79,40.39
143,31.2,2018-08-02 12:38:00,,18.0,18.8,0.66,,,54.0,0.0,0.28,9.6,CTFPE,4695,-120.79,40.39
144,30.9,2018-08-02 12:53:00,,17.9,18.6,0.47,,,54.0,0.0,0.28,9.4,CTFPE,4695,-120.79,40.39
145,30.8,2018-08-02 13:08:00,,17.7,18.5,0.12,,,53.0,0.0,0.56,9.3,CTFPE,4695,-120.79,40.39
146,30.5,2018-08-02 13:38:00,,17.5,18.4,0.12,,,53.0,0.0,0.28,9.3,CTFPE,4695,-120.79,40.39
147,30.3,2018-08-02 13:53:00,,17.6,18.6,0.3,,,53.0,0.0,0.28,9.5,CTFPE,4695,-120.79,40.39
148,30.1,2018-08-02 14:08:00,,17.9,18.8,0.75,,,54.0,0.0,0.0,9.7,CTFPE,4695,-120.79,40.39
149,29.9,2018-08-02 14:23:00,,18.1,18.9,1.12,,,54.0,0.0,0.56,10.1,CTFPE,4695,-120.79,40.39
150,29.8,2018-08-02 14:38:00,,18.5,19.2,1.94,,,55.0,0.0,0.83,10.7,CTFPE,4695,-120.79,40.39
151,29.6,2018-08-02 14:53:00,,18.7,19.5,2.6,,,55.0,0.0,0.28,11.4,CTFPE,4695,-120.79,40.39
152,29.4,2018-08-02 15:08:00,,19.6,19.8,3.53,,,55.0,0.0,0.56,12.4,CTFPE,4695,-120.79,40.39
153,29.3,2018-08-02 15:23:00,,20.4,20.5,4.37,,,55.0,0.0,0.56,13.3,CTFPE,4695,-120.79,40.39
154,29.1,2018-08-02 15:53:00,,22.5,22.6,6.52,,,55.0,0.0,0.28,15.6,CTFPE,4695,-120.79,40.39
155,28.9,2018-08-02 16:08:00,,25.3,25.0,8.12,,,54.0,0.0,0.56,17.6,CTFPE,4695,-120.79,40.39
156,28.8,2018-08-02 16:23:00,,26.9,26.7,8.87,,,52.0,0.0,0.83,19.0,CTFPE,4695,-120.79,40.39
157,28.8,2018-08-02 16:38:00,,28.8,28.1,9.4,,,50.0,0.0,0.28,20.2,CTFPE,4695,-120.79,40.39
158,28.7,2018-08-02 16:54:00,SSE,31.6,28.0,9.49,,160.0,47.0,0.83,1.39,21.3,CTFPE,4695,-120.79,40.39
159,28.7,2018-08-02 17:08:00,,32.5,27.9,9.57,,,45.0,0.0,2.22,22.1,CTFPE,4695,-120.79,40.39
160,28.8,2018-08-02 17:23:00,E,34.1,30.9,9.54,,90.0,42.0,0.56,1.67,23.2,CTFPE,4695,-120.79,40.39
161,28.8,2018-08-02 17:38:00,SW,33.5,30.3,9.45,,215.0,40.0,1.67,3.06,23.9,CTFPE,4695,-120.79,40.39
162,28.9,2018-08-02 17:53:00,SSW,37.4,31.1,9.5,,205.0,38.0,1.39,4.17,24.8,CTFPE,4695,-120.79,40.39
163,29.0,2018-08-02 18:08:00,W,39.5,35.7,9.91,,260.0,37.0,1.94,3.89,25.7,CTFPE,4695,-120.79,40.39
164,29.2,2018-08-02 18:23:00,SW,42.7,39.4,10.03,,235.0,36.0,2.22,5.83,26.3,CTFPE,4695,-120.79,40.39
165,29.3,2018-08-02 18:39:00,WSW,44.6,42.2,10.39,26.37,240.0,36.0,2.22,5.0,26.7,CTFPE,4695,-120.79,40.39
166,29.6,2018-08-02 18:54:00,SE,46.6,45.0,10.15,26.56,140.0,35.0,1.94,5.0,26.9,CTFPE,4695,-120.79,40.39
167,29.8,2018-08-02 19:08:00,SSW,48.8,46.8,10.5,26.83,195.0,35.0,2.5,6.11,27.3,CTFPE,4695,-120.79,40.39
168,30.0,2018-08-02 19:23:00,S,49.9,48.3,10.6,27.22,180.0,34.0,1.94,6.11,27.9,CTFPE,4695,-120.79,40.39
169,30.3,2018-08-02 19:38:00,W,50.7,48.7,11.22,27.78,265.0,34.0,2.22,4.44,28.6,CTFPE,4695,-120.79,40.39
170,30.6,2018-08-02 19:53:00,SSW,50.4,48.5,10.69,27.3,200.0,34.0,2.78,5.83,28.0,CTFPE,4695,-120.79,40.39
171,31.4,2018-08-02 20:23:00,SSW,51.4,50.1,11.57,27.76,195.0,35.0,2.78,6.39,28.5,CTFPE,4695,-120.79,40.39
172,31.7,2018-08-02 20:38:00,SW,51.2,50.0,11.75,27.93,235.0,35.0,1.67,6.94,28.7,CTFPE,4695,-120.79,40.39
173,32.0,2018-08-02 20:53:00,WSW,53.1,51.8,11.67,28.22,240.0,34.0,2.5,5.0,29.1,CTFPE,4695,-120.79,40.39
174,32.4,2018-08-02 21:08:00,W,52.8,51.6,10.58,27.91,270.0,32.0,3.89,6.39,28.9,CTFPE,4695,-120.79,40.39
175,32.7,2018-08-02 21:23:00,WSW,53.1,52.4,10.67,27.99,255.0,32.0,2.78,6.11,29.0,CTFPE,4695,-120.79,40.39
176,33.0,2018-08-02 21:38:00,SW,53.7,53.5,10.63,28.37,215.0,31.0,2.5,6.67,29.5,CTFPE,4695,-120.79,40.39
177,33.4,2018-08-02 21:53:00,ESE,54.5,53.4,10.63,28.37,120.0,31.0,1.39,7.5,29.5,CTFPE,4695,-120.79,40.39
178,33.7,2018-08-02 22:08:00,SSW,53.5,53.9,10.05,28.21,195.0,30.0,4.72,6.94,29.4,CTFPE,4695,-120.79,40.39
179,34.1,2018-08-02 22:23:00,SW,54.2,53.9,10.49,28.66,220.0,30.0,1.94,6.39,29.9,CTFPE,4695,-120.79,40.39
180,34.3,2018-08-02 22:38:00,S,54.0,52.8,10.84,29.04,170.0,30.0,1.39,6.67,30.3,CTFPE,4695,-120.79,40.39
181,34.9,2018-08-02 23:08:00,S,51.6,51.0,10.32,28.48,190.0,30.0,2.78,5.83,29.7,CTFPE,4695,-120.79,40.39
182,35.3,2018-08-02 23:23:00,WNW,50.1,49.1,10.49,28.66,290.0,30.0,1.67,5.28,29.9,CTFPE,4695,-120.79,40.39
183,35.5,2018-08-02 23:38:00,S,48.6,48.1,9.88,28.04,185.0,30.0,3.33,5.56,29.2,CTFPE,4695,-120.79,40.39
184,35.8,2018-08-02 23:53:00,SSE,47.8,47.3,9.7,27.87,150.0,30.0,2.78,8.06,29.0,CTFPE,4695,-120.79,40.39
185,36.0,2018-08-03 00:08:00,SSW,46.5,46.3,10.1,27.85,195.0,31.0,2.5,5.56,28.9,CTFPE,4695,-120.79,40.39
186,36.2,2018-08-03 00:23:00,SSW,45.4,43.1,9.84,27.6,195.0,31.0,2.22,6.67,28.6,CTFPE,4695,-120.79,40.39
187,36.4,2018-08-03 00:38:00,SW,44.2,40.4,9.75,27.52,230.0,31.0,2.22,5.83,28.5,CTFPE,4695,-120.79,40.39
