,altimeter_set_1,wind_cardinal_direction_set_1d,wind_gust_set_1,cloud_layer_3_code_set_1,sea_level_pressure_set_1,ceiling_set_1,sea_level_pressure_set_1d,cloud_layer_1_code_set_1,weather_condition_set_1d,air_temp_low_6_hour_set_1,air_temp_high_24_hour_set_1,precip_accum_one_hour_set_1,pressure_set_1d,pressure_tendency_set_1,metar_set_1,cloud_layer_2_code_set_1,relative_humidity_set_1,wind_speed_set_1,precip_accum_24_hour_set_1,precip_accum_three_hour_set_1,air_temp_set_1,air_temp_high_6_hour_set_1,date_time,dew_point_temperature_set_1d,visibility_set_1,dew_point_temperature_set_1,air_temp_low_24_hour_set_1,precip_accum_six_hour_set_1,metar_origin_set_1,weather_cond_code_set_1,wind_direction_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
37,101760.93,SE,,,,304.8,101761.17,104.0,Overcast,,,,100084.23,,METAR KBOK 010325Z AUTO 14005KT 10SM OVC010 14/13 A3005,,93.7,2.57,,,14.0,,2018-08-01 03:25:00,12.99,10.0,,,,,,140.0,KBOK,459,-124.29000,42.07444
38,101760.93,SE,,,,243.84,101761.17,84.0,Overcast,,,,100084.23,,METAR KBOK 010330Z AUTO 14006KT 10SM OVC008 14/13 A3005,,93.7,3.09,,,14.0,,2018-08-01 03:30:00,12.99,10.0,,,,,,140.0,KBOK,459,-124.29000,42.07444
39,101760.93,SE,,,,243.84,101761.17,84.0,Overcast,,,,100084.23,,METAR KBOK 010335Z AUTO 14006KT 10SM OVC008 14/13 A3005,,93.7,3.09,,,14.0,,2018-08-01 03:35:00,12.99,10.0,,,,,,140.0,KBOK,459,-124.29000,42.07444
40,101760.93,SE,,,,243.84,101761.17,84.0,Overcast,,,,100084.23,,KBOK 010339Z AUTO 14004KT 10SM OVC008 14/13 A3005 RMK AO2,,93.7,2.06,,,14.0,,2018-08-01 03:39:00,12.99,10.0,13.0,,,1.0,,140.0,KBOK,459,-124.29000,42.07444
41,101760.93,SE,,,,243.84,101761.17,84.0,Overcast,,,,100084.23,,METAR KBOK 010340Z AUTO 14004KT 10SM OVC008 14/13 A3005,,93.7,2.06,,,14.0,,2018-08-01 03:40:00,12.99,10.0,,,,,,140.0,KBOK,459,-124.29000,42.07444
42,101760.93,SE,,,,243.84,101761.17,84.0,Overcast,,,,100084.23,,METAR KBOK 010345Z AUTO 14003KT 10SM OVC008 14/13 A3005,,93.7,1.54,,,14.0,,2018-08-01 03:45:00,12.99,10.0,,,,,,140.0,KBOK,459,-124.29000,42.07444
43,101760.93,SE,,,,182.88,101761.17,64.0,Overcast,,,,100084.23,,METAR KBOK 010350Z AUTO 14004KT 10SM OVC006 14/13 A3005,,93.7,2.06,,,14.0,,2018-08-01 03:50:00,12.99,10.0,,,,,,140.0,KBOK,459,-124.29000,42.07444
44,101760.93,SE,,,,182.88,101761.17,64.0,Overcast,,,,100084.23,,METAR KBOK 010355Z AUTO 14004KT 10SM OVC006 14/13 A3005,,93.7,2.06,,,14.0,,2018-08-01 03:55:00,12.99,10.0,,,,,,140.0,KBOK,459,-124.29000,42.07444
45,101760.93,SE,,,101890.0,182.88,101758.83,64.0,Overcast,,,,100084.23,,KBOK 010356Z AUTO 13003KT 10SM OVC006 14/13 A3005 RMK AO2 SLP189  T01440128,,90.12,1.54,,,14.4,,2018-08-01 03:56:00,12.79,10.0,12.8,,,1.0,,130.0,KBOK,459,-124.29000,42.07444
46,101760.93,ESE,,,,182.88,101761.17,64.0,Overcast,,,,100084.23,,METAR KBOK 010400Z AUTO 12003KT 10SM OVC006 14/13 A3005,,93.7,1.54,,,14.0,,2018-08-01 04:00:00,12.99,10.0,,,,,,120.0,KBOK,459,-124.29000,42.07444
