,date_time,wind_cardinal_direction_set_1d,wind_gust_set_1,volt_set_1,dew_point_temperature_set_1d,wind_direction_set_1,snow_depth_set_1,relative_humidity_set_1,wind_speed_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
130,2018-08-06 10:00:00,WSW,2.06,12.81,2.42,245.9,,57.44,1.53,10.56,MSMED,6509,-122.43333,41.33556
131,2018-08-06 11:00:00,WSW,2.16,12.78,2.79,245.2,12.446,59.46,1.41,10.43,MSMED,6509,-122.43333,41.33556
132,2018-08-06 12:00:00,WSW,2.06,12.78,3.54,244.1,,62.43,1.55,10.49,MSMED,6509,-122.43333,41.33556
133,2018-08-06 13:00:00,WSW,2.06,12.77,3.62,245.6,4.064,64.45,1.63,10.09,MSMED,6509,-122.43333,41.33556
134,2018-08-06 14:00:00,WSW,2.06,12.66,4.45,246.1,4.572,62.97,1.59,11.31,MSMED,6509,-122.43333,41.33556
135,2018-08-06 15:00:00,SSE,1.67,13.5,4.98,156.4,,45.16,0.56,17.02,MSMED,6509,-122.43333,41.33556
136,2018-08-06 16:00:00,ESE,2.16,14.08,4.33,101.6,,39.74,0.82,18.33,MSMED,6509,-122.43333,41.33556
137,2018-08-06 17:00:00,E,2.74,13.99,5.75,90.0,,45.04,1.16,17.91,MSMED,6509,-122.43333,41.33556
138,2018-08-06 18:00:00,E,2.94,13.99,6.23,98.2,20.066,43.7,1.41,18.91,MSMED,6509,-122.43333,41.33556
139,2018-08-06 19:00:00,E,3.82,13.93,6.42,89.7,,42.87,1.38,19.43,MSMED,6509,-122.43333,41.33556
140,2018-08-06 20:00:00,E,4.51,13.93,4.9,84.5,,38.1,1.5,19.63,MSMED,6509,-122.43333,41.33556
141,2018-08-06 21:00:00,E,3.63,13.93,-0.33,99.0,6286.5,24.43,1.47,20.78,MSMED,6509,-122.43333,41.33556
142,2018-08-06 22:00:00,E,3.53,13.95,2.56,99.0,,30.36,1.36,20.64,MSMED,6509,-122.43333,41.33556
143,2018-08-06 23:00:00,E,3.63,13.86,2.33,98.1,0.762,28.81,1.29,21.22,MSMED,6509,-122.43333,41.33556
144,2018-08-07 00:00:00,SE,2.94,13.61,3.04,128.4,,29.88,0.88,21.44,MSMED,6509,-122.43333,41.33556
145,2018-08-07 01:00:00,SE,1.96,13.31,2.94,142.4,,30.63,0.5,20.93,MSMED,6509,-122.43333,41.33556
146,2018-08-07 02:00:00,SW,1.57,12.93,2.15,216.8,38.608,31.32,0.3,19.67,MSMED,6509,-122.43333,41.33556
147,2018-08-07 03:00:00,SW,2.16,12.87,2.75,236.2,,34.82,0.47,18.66,MSMED,6509,-122.43333,41.33556
148,2018-08-07 04:00:00,SW,2.64,12.89,5.53,215.4,,46.01,0.58,17.33,MSMED,6509,-122.43333,41.33556
149,2018-08-07 05:00:00,SW,3.63,12.88,5.17,220.2,,47.23,0.69,16.53,MSMED,6509,-122.43333,41.33556
150,2018-08-07 06:00:00,WSW,3.13,12.86,5.51,246.9,24.13,49.18,0.53,16.26,MSMED,6509,-122.43333,41.33556
151,2018-08-07 07:00:00,WSW,2.35,12.84,4.41,251.0,,46.35,0.57,15.99,MSMED,6509,-122.43333,41.33556
152,2018-08-07 08:00:00,W,2.25,12.83,3.17,262.2,10.16,44.2,0.46,15.38,MSMED,6509,-122.43333,41.33556
153,2018-08-07 09:00:00,WSW,1.96,12.8,1.55,250.3,9.906,43.87,1.04,13.72,MSMED,6509,-122.43333,41.33556
154,2018-08-07 10:00:00,WSW,2.16,12.79,2.24,247.6,27.686,46.5,1.28,13.58,MSMED,6509,-122.43333,41.33556
155,2018-08-07 11:00:00,WSW,2.25,12.77,2.26,249.6,36.322,47.78,1.22,13.18,MSMED,6509,-122.43333,41.33556
156,2018-08-07 12:00:00,WSW,2.16,12.75,2.49,248.6,,47.31,1.29,13.58,MSMED,6509,-122.43333,41.33556
157,2018-08-07 13:00:00,WSW,2.55,12.73,1.17,245.3,18.796,45.43,1.35,12.77,MSMED,6509,-122.43333,41.33556
158,2018-08-07 14:00:00,WSW,1.96,12.61,3.3,244.6,,49.0,1.24,13.92,MSMED,6509,-122.43333,41.33556
159,2018-08-07 15:00:00,SW,1.57,13.18,6.38,222.4,,43.66,0.6,19.09,MSMED,6509,-122.43333,41.33556
160,2018-08-07 16:00:00,SE,2.25,14.01,7.92,127.0,,45.86,0.56,19.99,MSMED,6509,-122.43333,41.33556
161,2018-08-07 17:00:00,SE,2.35,13.91,-0.87,125.2,2.794,21.4,0.72,22.28,MSMED,6509,-122.43333,41.33556
162,2018-08-07 18:00:00,SE,3.13,13.88,0.77,126.4,,22.68,0.97,23.28,MSMED,6509,-122.43333,41.33556
163,2018-08-07 19:00:00,ESE,3.92,13.89,0.55,115.1,14.224,22.47,0.98,23.17,MSMED,6509,-122.43333,41.33556
164,2018-08-07 20:00:00,E,3.72,13.83,-2.12,83.3,42.418,17.43,1.35,24.11,MSMED,6509,-122.43333,41.33556
165,2018-08-07 21:00:00,SSE,4.12,13.79,0.29,156.1,18.796,19.98,0.87,24.78,MSMED,6509,-122.43333,41.33556
166,2018-08-07 22:00:00,ESE,4.6,13.79,-4.8,103.1,65.786,13.39,1.23,25.11,MSMED,6509,-122.43333,41.33556
167,2018-08-07 23:00:00,E,3.33,13.77,-0.99,87.5,,17.83,1.2,25.11,MSMED,6509,-122.43333,41.33556
168,2018-08-08 00:00:00,ESE,3.04,13.53,-1.96,103.4,29.718,16.48,0.99,25.22,MSMED,6509,-122.43333,41.33556
169,2018-08-08 01:00:00,SE,2.35,13.2,1.13,127.7,,22.35,0.51,23.94,MSMED,6509,-122.43333,41.33556
170,2018-08-08 02:00:00,WSW,1.08,12.85,1.38,250.8,59.436,26.8,0.35,21.28,MSMED,6509,-122.43333,41.33556
171,2018-08-08 03:00:00,WSW,1.76,12.86,-0.17,243.9,39.878,27.07,1.24,19.33,MSMED,6509,-122.43333,41.33556
172,2018-08-08 04:00:00,WSW,2.16,12.87,1.06,244.4,,29.84,1.58,19.2,MSMED,6509,-122.43333,41.33556
173,2018-08-08 05:00:00,WSW,1.67,12.86,2.37,255.7,,33.61,0.68,18.8,MSMED,6509,-122.43333,41.33556
174,2018-08-08 06:00:00,WSW,2.25,12.84,0.66,247.8,62.992,35.24,1.24,16.12,MSMED,6509,-122.43333,41.33556
175,2018-08-08 07:00:00,WSW,2.25,12.82,-0.33,248.2,5796.28,33.96,1.63,15.58,MSMED,6509,-122.43333,41.33556
176,2018-08-08 08:00:00,WSW,2.06,12.81,-1.58,248.1,69.342,31.13,1.62,15.52,MSMED,6509,-122.43333,41.33556
177,2018-08-08 09:00:00,WSW,2.16,12.8,-4.13,247.6,96.774,25.33,1.69,15.78,MSMED,6509,-122.43333,41.33556
178,2018-08-08 10:00:00,WSW,2.16,12.78,-4.05,248.7,89.662,25.47,1.65,15.78,MSMED,6509,-122.43333,41.33556
179,2018-08-08 11:00:00,WSW,2.25,12.77,-2.78,246.6,46.736,27.76,1.67,15.92,MSMED,6509,-122.43333,41.33556
180,2018-08-08 12:00:00,WSW,2.06,12.75,-3.71,246.7,92.71,25.33,1.42,16.26,MSMED,6509,-122.43333,41.33556
181,2018-08-08 13:00:00,WSW,2.16,12.73,-3.72,245.6,45.212,26.21,1.51,15.72,MSMED,6509,-122.43333,41.33556
182,2018-08-08 14:00:00,WSW,2.16,12.6,-1.77,245.7,73.914,29.51,1.63,16.13,MSMED,6509,-122.43333,41.33556
183,2018-08-08 15:00:00,SW,1.76,13.28,0.06,234.2,,23.78,0.88,21.67,MSMED,6509,-122.43333,41.33556
184,2018-08-08 16:00:00,ESE,3.13,13.91,1.84,123.7,,24.91,0.67,23.0,MSMED,6509,-122.43333,41.33556
185,2018-08-08 17:00:00,E,2.64,13.92,2.11,99.9,,22.48,1.04,25.0,MSMED,6509,-122.43333,41.33556
186,2018-08-08 18:00:00,SE,2.94,13.81,5.19,129.1,,28.06,0.91,24.94,MSMED,6509,-122.43333,41.33556
187,2018-08-08 19:00:00,SSE,2.45,13.73,3.87,164.9,,23.75,0.69,26.17,MSMED,6509,-122.43333,41.33556
188,2018-08-08 20:00:00,ESE,3.53,13.75,3.09,106.2,20.828,24.36,1.24,24.83,MSMED,6509,-122.43333,41.33556
189,2018-08-08 21:00:00,SE,4.41,13.79,5.36,128.5,,28.19,1.12,25.06,MSMED,6509,-122.43333,41.33556
190,2018-08-08 22:00:00,ESE,4.6,13.86,5.55,114.5,,28.86,1.29,24.89,MSMED,6509,-122.43333,41.33556
191,2018-08-08 23:00:00,SE,4.41,13.68,3.62,135.5,,25.37,1.05,24.78,MSMED,6509,-122.43333,41.33556
192,2018-08-09 00:00:00,SE,3.23,13.42,2.46,129.3,43.942,24.76,0.8,23.83,MSMED,6509,-122.43333,41.33556
193,2018-08-09 01:00:00,SE,3.13,13.1,3.54,129.3,,28.81,0.31,22.61,MSMED,6509,-122.43333,41.33556
194,2018-08-09 02:00:00,WSW,1.37,12.8,3.87,258.0,,33.39,0.44,20.59,MSMED,6509,-122.43333,41.33556
195,2018-08-09 03:00:00,WSW,1.76,12.86,0.98,246.1,,29.16,1.19,19.47,MSMED,6509,-122.43333,41.33556
