,altimeter_set_1,wind_cardinal_direction_set_1d,wind_gust_set_1,cloud_layer_3_code_set_1,heat_index_set_1d,sea_level_pressure_set_1,sea_level_pressure_set_1d,ceiling_set_1,weather_condition_set_1d,air_temp_low_6_hour_set_1,air_temp_high_24_hour_set_1,cloud_layer_1_code_set_1,pressure_set_1d,pressure_tendency_set_1,metar_set_1,cloud_layer_2_code_set_1,relative_humidity_set_1,wind_speed_set_1,air_temp_set_1,air_temp_high_6_hour_set_1,date_time,dew_point_temperature_set_1d,visibility_set_1,dew_point_temperature_set_1,air_temp_low_24_hour_set_1,metar_origin_set_1,weather_cond_code_set_1,wind_direction_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
33,100914.33,SSE,,,34.37,,100790.08,1005.84,"Haze,Smoke",,,334.0,99107.67,,METAR KRDD 010230Z AUTO 15007KT 4SM HZ FU OVC033 35/14 A2980,,28.48,3.6,35.0,,2018-08-01 02:30:00,14.15,4.0,,,,566.0,150.0,KRDD,499,-122.29770,40.51461
34,100914.33,SSE,,,33.3,,100795.59,1005.84,"Haze,Smoke",,,333.0,99107.67,,METAR KRDD 010235Z AUTO 15006KT 4SM HZ FU BKN033 OVC065 34/14 A2980,654.0,30.1,3.09,34.0,,2018-08-01 02:35:00,14.13,4.0,,,,566.0,150.0,KRDD,499,-122.29770,40.51461
35,100914.33,SE,,,33.3,,100795.59,1005.84,"Haze,Smoke",,,333.0,99107.67,,METAR KRDD 010240Z AUTO 14006KT 4SM HZ FU BKN033 OVC070 34/14 A2980,704.0,30.1,3.09,34.0,,2018-08-01 02:40:00,14.13,4.0,,,,566.0,140.0,KRDD,499,-122.29770,40.51461
36,100914.33,SE,,,33.3,,100795.59,1066.8,"Haze,Smoke",,,354.0,99107.67,,METAR KRDD 010245Z AUTO 13005KT 4SM HZ FU OVC035 34/14 A2980,,30.1,2.57,34.0,,2018-08-01 02:45:00,14.13,4.0,,,,566.0,130.0,KRDD,499,-122.29770,40.51461
37,100914.33,SSE,,,33.3,,100795.59,1066.8,"Haze,Smoke",,,354.0,99107.67,,METAR KRDD 010250Z AUTO 15004KT 4SM HZ FU OVC035 34/14 A2980,,30.1,2.06,34.0,,2018-08-01 02:50:00,14.13,4.0,,,,566.0,150.0,KRDD,499,-122.29770,40.51461
38,100914.33,SSE,,,33.17,100850.0,100796.15,1066.8,"Haze,Smoke",,,354.0,99107.67,5003.0,KRDD 010253Z 15003KT 4SM HZ FU OVC035 34/14 A2980 RMK AO2 SLP085  T03390139 55003,,30.08,1.54,33.9,,2018-08-01 02:53:00,14.03,4.0,13.9,,1.0,566.0,150.0,KRDD,499,-122.29770,40.51461
39,100914.33,SSE,,,33.3,,100795.59,1066.8,"Haze,Smoke",,,353.0,99107.67,,METAR KRDD 010255Z AUTO 15003KT 4SM HZ FU BKN035 OVC060 34/14 A2980,604.0,30.1,1.54,34.0,,2018-08-01 02:55:00,14.13,4.0,,,,566.0,150.0,KRDD,499,-122.29770,40.51461
40,100948.2,S,,,32.27,,100834.97,1127.76,"Haze,Smoke",,,373.0,99140.93,,METAR KRDD 010300Z AUTO 18004KT 4SM HZ FU BKN037 OVC060 33/14 A2981,604.0,31.83,2.06,33.0,,2018-08-01 03:00:00,14.11,4.0,,,,566.0,180.0,KRDD,499,-122.29770,40.51461
41,100948.2,S,,,32.27,,100834.97,1249.68,"Haze,Smoke",,,413.0,99140.93,,METAR KRDD 010305Z AUTO 17004KT 4SM HZ FU BKN041 OVC060 33/14 A2981,604.0,31.83,2.06,33.0,,2018-08-01 03:05:00,14.11,4.0,,,,566.0,170.0,KRDD,499,-122.29770,40.51461
42,100948.2,SSE,,,32.27,,100834.97,1463.04,"Haze,Smoke",,,484.0,99140.93,,METAR KRDD 010310Z AUTO 16003KT 4SM HZ FU OVC048 33/14 A2981,,31.83,1.54,33.0,,2018-08-01 03:10:00,14.11,4.0,,,,566.0,160.0,KRDD,499,-122.29770,40.51461
