,road_subsurface_tmp_set_1,date_time,road_freezing_temp_set_1,wind_cardinal_direction_set_1d,road_temp_set_1,wind_gust_set_1,dew_point_temperature_set_1d,heat_index_set_1d,wind_direction_set_1,relative_humidity_set_1,wind_speed_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
75,26.06,2018-08-01 19:03:00,0.0,SSE,46.44,3.8,0.12,,164.0,20.0,1.52,24.56,CRLNV,6422,-120.00341,39.23022
76,26.28,2018-08-01 19:18:00,0.0,S,48.22,3.89,-0.26,,176.0,19.0,1.7,24.94,CRLNV,6422,-120.00341,39.23022
77,26.44,2018-08-01 19:33:00,0.0,SSW,49.17,2.28,-1.26,,198.0,17.0,1.12,25.56,CRLNV,6422,-120.00341,39.23022
78,26.83,2018-08-01 19:48:00,0.0,SSE,50.56,4.2,-3.04,,162.0,15.0,1.52,25.44,CRLNV,6422,-120.00341,39.23022
79,27.17,2018-08-01 20:03:00,0.0,S,51.56,2.01,-0.26,25.96,185.0,17.0,1.12,26.78,CRLNV,6422,-120.00341,39.23022
80,27.44,2018-08-01 20:19:00,0.0,S,52.72,1.92,0.65,26.16,176.0,18.0,0.8,26.94,CRLNV,6422,-120.00341,39.23022
81,27.83,2018-08-01 20:34:00,0.0,E,53.06,0.98,3.13,,85.0,22.0,0.49,26.56,CRLNV,6422,-120.00341,39.23022
82,28.22,2018-08-01 20:49:00,0.0,E,54.17,0.9,4.27,26.54,79.0,23.0,0.09,27.17,CRLNV,6422,-120.00341,39.23022
83,28.78,2018-08-01 21:04:00,0.0,S,54.22,3.89,-0.35,25.84,178.0,17.0,2.28,26.67,CRLNV,6422,-120.00341,39.23022
84,29.17,2018-08-01 21:19:00,0.0,S,54.17,4.78,-1.64,26.33,176.0,15.0,2.01,27.17,CRLNV,6422,-120.00341,39.23022
85,29.67,2018-08-01 21:34:00,0.0,S,51.28,4.2,2.37,,178.0,21.0,2.59,26.44,CRLNV,6422,-120.00341,39.23022
86,30.17,2018-08-01 21:49:00,0.0,S,43.83,4.92,3.87,26.42,182.0,22.0,2.51,27.44,CRLNV,6422,-120.00341,39.23022
87,30.56,2018-08-01 22:04:00,0.0,SSE,40.94,3.71,5.44,26.74,161.0,24.0,1.52,27.83,CRLNV,6422,-120.00341,39.23022
88,30.94,2018-08-01 22:19:00,0.0,SSE,41.83,6.21,3.55,26.4,150.0,22.0,3.31,27.06,CRLNV,6422,-120.00341,39.23022
89,31.33,2018-08-01 22:34:00,0.0,SSE,39.17,6.48,3.98,26.17,164.0,23.0,3.4,26.83,CRLNV,6422,-120.00341,39.23022
90,31.67,2018-08-01 22:49:00,0.0,SSE,37.67,7.28,3.51,,160.0,23.0,4.78,26.28,CRLNV,6422,-120.00341,39.23022
91,31.94,2018-08-01 23:04:00,0.0,SSE,36.67,8.18,5.3,,167.0,26.0,4.29,26.33,CRLNV,6422,-120.00341,39.23022
92,32.17,2018-08-01 23:19:00,0.0,SSE,35.67,8.18,3.13,,162.0,23.0,5.1,25.83,CRLNV,6422,-120.00341,39.23022
93,32.33,2018-08-01 23:34:00,0.0,SSE,34.33,7.78,4.08,,162.0,25.0,4.52,25.56,CRLNV,6422,-120.00341,39.23022
94,32.44,2018-08-01 23:49:00,0.0,SSE,34.17,6.7,4.54,,157.0,26.0,3.31,25.44,CRLNV,6422,-120.00341,39.23022
95,32.56,2018-08-02 00:04:00,0.0,SSE,35.72,6.21,3.21,,164.0,24.0,3.98,25.22,CRLNV,6422,-120.00341,39.23022
96,32.56,2018-08-02 00:19:00,0.0,SSE,37.72,5.01,2.8,,160.0,23.0,3.31,25.44,CRLNV,6422,-120.00341,39.23022
97,32.44,2018-08-02 00:35:00,0.0,SSE,38.17,4.38,4.75,,155.0,27.0,2.41,25.06,CRLNV,6422,-120.00341,39.23022
98,32.56,2018-08-02 00:50:00,0.0,SSE,35.06,5.41,4.5,,157.0,27.0,3.8,24.78,CRLNV,6422,-120.00341,39.23022
99,32.83,2018-08-02 01:05:00,0.0,SSE,32.72,5.01,4.01,,162.0,26.0,2.28,24.83,CRLNV,6422,-120.00341,39.23022
100,32.17,2018-08-02 01:20:00,0.0,SSE,31.94,5.59,4.83,,161.0,28.0,2.99,24.56,CRLNV,6422,-120.00341,39.23022
101,32.56,2018-08-02 01:35:00,0.0,SSE,30.83,4.6,5.09,,160.0,29.0,2.59,24.28,CRLNV,6422,-120.00341,39.23022
