,date_time,wind_cardinal_direction_set_1d,wind_gust_set_1,wind_direction_set_1,wind_speed_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
83,2018-08-04 11:00:00,SW,3.15,215.3,1.52,10.51,MSGRB,7786,-122.1944,41.3456
84,2018-08-04 12:00:00,SSE,3.15,163.3,2.21,10.29,MSGRB,7786,-122.1944,41.3456
85,2018-08-04 13:00:00,SSE,3.15,160.9,1.84,10.28,MSGRB,7786,-122.1944,41.3456
86,2018-08-04 14:00:00,S,3.15,178.2,2.16,9.97,MSGRB,7786,-122.1944,41.3456
87,2018-08-04 15:00:00,S,3.15,185.8,1.79,11.34,MSGRB,7786,-122.1944,41.3456
88,2018-08-04 16:00:00,SW,3.15,228.8,0.74,12.77,MSGRB,7786,-122.1944,41.3456
89,2018-08-04 17:00:00,SSW,3.15,206.3,0.74,12.13,MSGRB,7786,-122.1944,41.3456
90,2018-08-04 18:00:00,WSW,3.15,248.0,0.68,12.46,MSGRB,7786,-122.1944,41.3456
91,2018-08-04 19:00:00,SW,6.31,227.8,2.79,12.59,MSGRB,7786,-122.1944,41.3456
92,2018-08-04 20:00:00,WSW,6.31,255.9,3.89,14.02,MSGRB,7786,-122.1944,41.3456
93,2018-08-04 21:00:00,W,9.47,272.7,4.84,15.99,MSGRB,7786,-122.1944,41.3456
94,2018-08-04 22:00:00,WNW,9.47,298.3,6.68,15.56,MSGRB,7786,-122.1944,41.3456
95,2018-08-04 23:00:00,WNW,12.62,299.9,6.79,16.75,MSGRB,7786,-122.1944,41.3456
96,2018-08-05 00:00:00,WNW,9.47,302.1,6.31,17.95,MSGRB,7786,-122.1944,41.3456
97,2018-08-05 01:00:00,WNW,12.62,303.4,7.0,13.51,MSGRB,7786,-122.1944,41.3456
98,2018-08-05 02:00:00,NW,12.62,308.8,7.21,14.12,MSGRB,7786,-122.1944,41.3456
99,2018-08-05 03:00:00,NW,9.47,310.2,7.0,13.51,MSGRB,7786,-122.1944,41.3456
100,2018-08-05 04:00:00,N,9.47,8.73,5.42,11.95,MSGRB,7786,-122.1944,41.3456
101,2018-08-05 05:00:00,E,6.31,96.2,4.15,11.59,MSGRB,7786,-122.1944,41.3456
102,2018-08-05 06:00:00,ESE,6.31,107.2,3.58,11.37,MSGRB,7786,-122.1944,41.3456
103,2018-08-05 07:00:00,SE,6.31,133.6,2.26,10.78,MSGRB,7786,-122.1944,41.3456
104,2018-08-05 08:00:00,SE,3.15,141.8,0.74,10.77,MSGRB,7786,-122.1944,41.3456
105,2018-08-05 09:00:00,SSE,3.15,154.4,2.0,10.63,MSGRB,7786,-122.1944,41.3456
106,2018-08-05 10:00:00,ESE,3.15,105.7,2.37,10.65,MSGRB,7786,-122.1944,41.3456
107,2018-08-05 11:00:00,E,6.31,93.7,4.11,10.03,MSGRB,7786,-122.1944,41.3456
108,2018-08-05 12:00:00,E,9.47,92.7,6.2,9.93,MSGRB,7786,-122.1944,41.3456
109,2018-08-05 13:00:00,E,9.47,90.5,7.42,9.53,MSGRB,7786,-122.1944,41.3456
110,2018-08-05 14:00:00,E,12.62,82.3,8.78,9.74,MSGRB,7786,-122.1944,41.3456
111,2018-08-05 15:00:00,E,12.62,84.8,8.47,10.46,MSGRB,7786,-122.1944,41.3456
112,2018-08-05 16:00:00,ESE,9.47,104.8,6.68,12.32,MSGRB,7786,-122.1944,41.3456
113,2018-08-05 17:00:00,ESE,9.47,108.4,5.31,14.06,MSGRB,7786,-122.1944,41.3456
114,2018-08-05 18:00:00,ESE,6.31,122.5,3.68,15.39,MSGRB,7786,-122.1944,41.3456
115,2018-08-05 19:00:00,SE,6.31,138.0,3.47,14.48,MSGRB,7786,-122.1944,41.3456
116,2018-08-05 20:00:00,SSE,6.31,165.3,2.47,15.01,MSGRB,7786,-122.1944,41.3456
117,2018-08-05 21:00:00,SW,6.31,231.0,2.63,16.05,MSGRB,7786,-122.1944,41.3456
118,2018-08-05 22:00:00,SW,6.31,220.8,2.31,17.41,MSGRB,7786,-122.1944,41.3456
119,2018-08-05 23:00:00,SSW,6.31,207.3,2.47,18.42,MSGRB,7786,-122.1944,41.3456
120,2018-08-06 00:00:00,SSW,6.31,212.6,2.1,16.64,MSGRB,7786,-122.1944,41.3456
121,2018-08-06 01:00:00,SW,3.15,216.1,1.79,15.52,MSGRB,7786,-122.1944,41.3456
122,2018-08-06 02:00:00,S,3.15,178.5,0.95,15.67,MSGRB,7786,-122.1944,41.3456
123,2018-08-06 03:00:00,WSW,3.15,253.4,1.79,15.36,MSGRB,7786,-122.1944,41.3456
124,2018-08-06 04:00:00,NW,6.31,306.2,3.26,13.44,MSGRB,7786,-122.1944,41.3456
125,2018-08-06 05:00:00,WNW,9.47,298.2,5.94,12.9,MSGRB,7786,-122.1944,41.3456
126,2018-08-06 06:00:00,NW,9.47,304.3,5.15,12.43,MSGRB,7786,-122.1944,41.3456
127,2018-08-06 07:00:00,N,6.31,354.6,2.89,12.34,MSGRB,7786,-122.1944,41.3456
128,2018-08-06 08:00:00,E,9.47,86.0,5.94,12.12,MSGRB,7786,-122.1944,41.3456
129,2018-08-06 09:00:00,E,9.47,84.7,6.36,13.29,MSGRB,7786,-122.1944,41.3456
130,2018-08-06 10:00:00,E,6.31,90.2,3.58,13.61,MSGRB,7786,-122.1944,41.3456
131,2018-08-06 11:00:00,E,6.31,98.2,3.15,12.5,MSGRB,7786,-122.1944,41.3456
132,2018-08-06 12:00:00,E,3.15,95.0,1.68,12.83,MSGRB,7786,-122.1944,41.3456
133,2018-08-06 13:00:00,E,3.15,88.7,0.84,12.26,MSGRB,7786,-122.1944,41.3456
134,2018-08-06 14:00:00,E,3.15,87.7,0.1,12.23,MSGRB,7786,-122.1944,41.3456
